from,to,year,type,pps
FCE,FR,2022,1,"0,14"
RS,JL,2022,1,"0,71"
JS,RS,2022,2,"1,21"
JA,FCE,2022,2,"0,4"
VCF,UM,2022,1,"1,64"
QS,VCF,2022,2,"1,7"
CDa,EC,2022,1,"0,92"
CC,CDa,2022,2,"1,23"
FCE,JA,2022,1,"0,4"
PMa,FCE,2022,2,"0,75"
UDLP,GG,2023,1,"1,11"
RBa,UDLP,2023,2,"1,29"
FCE,PMa,2023,1,"0,75"
SBe,FCE,2023,2,1
RS,JS,2023,1,"1,21"
JLM,RS,2023,2,"1,75"
RVad,Pa,2023,1,"1,04"
PP,RVad,2023,2,"1,09"
RCD,DMa,2023,1,1
LG,RCD,2023,2,"0,91"
FCBa,QSF,2023,1,1
PBo,FCBa,2023,2,"1,57"
CDa,CC,2023,1,"1,23"
RB,CDa,2023,2,0
SeFC,Ru,2023,1,"1,08"
VM,SeFC,2023,2,0
GrFC,AI,2023,1,"1,29"
FR,GrFC,2023,2,0
