id,name,type,league
FR,Francisco Rodríguez,1,3
JS,Jorge Sampaoli,1,3
JA,Jorge Almiron,1,3
QS,Quique Setién,1,3
EC,Eduardo Coudet,1,3
CC,Carlos Carvalhal,1,3
PMa,Pablo Machin,1,3
GG,Gennaro Gattuso,1,3
RBa,Rubén Baraja,1,3
SBe,Sebastián Beccacece,1,3
JLM,José Luis Mendilibar,1,3
Pa,Pacheta,1,3
PP,Paulo Pezzolano,1,3
DMa,Diego Martínez,1,3
LG,Luis García,1,3
PBo,Pepe Bordalás,1,3
Ru,Rubi,1,3
VM,Vicente Moreno,1,3
FCE,FC Elche,2,3
SeFC,Sevilla FC,2,3
ViCF,Villarreal CF,2,3
CV,Celta Vigo,2,3
VCF,Valencia CF,2,3
RCD,Espanyol Barcelona ,2,3
RVad,Real Valladolid ,2,3
GCF,Getafe CF,2,3
UDA,UD Almería,2,3
RV,Rayo Vallecano,2,3
